2026-03-25,101,6,5.5,45000,2000,8000,35000
2026-03-28,121512,23.0,10,230.0,5.75,5.045625,219.204375
2026-03-28,14256,10.0,10,100.0,2.5,2.19375,95.30625
2026-03-28,rdefsd,0.0,10,0.0,0.0,0.0,0.0
2026-03-28,12543,10.0,10,100.0,2.5,2.19375,95.30625
2026-03-28,121512,2.0,10,20.0,0.5,0.43875,19.06125
2026-03-28,14256,2.0,10,20.0,0.5,0.43875,19.06125
2026-03-28,rdefsd,2.0,10,20.0,0.5,0.43875,19.06125
2026-03-28,12543,2.0,10,20.0,0.5,0.43875,19.06125
2026-03-28,121512,10.0,10,100.0,2.5,2.19375,95.30625
2026-03-28,14256,1.0,10,10.0,0.25,0.219375,9.530625
2026-03-28,rdefsd,1.0,10,10.0,0.25,0.219375,9.530625
2026-03-28,12543,1.0,10,10.0,0.25,0.219375,9.530625
